Legacy URL,Legacy Title,Resource Type,Year,Old Status,New URL/Path,New HSTU Section,Current/Historical,Verification Date,Migration Decision
Legacy Wix route not directly recoverable; official replacement/recovered source used,National HIV/STI Programme Annual Reports 2012–2015,Programme annual reports · historical reference,2012,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2015/07/MOH_HIV_STI_Annual-Report-2012-2015.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,National HIV/STI Programme Annual Report 2011,Programme annual report · historical reference,2011,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2015/07/NHP_Annual_Report_2011.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,National HIV/STI Programme Annual Report 2010,Programme annual report · historical reference,2010,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2015/07/NHP_Annual_Report_2010.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,National HIV/STI Programme Annual Report 2008 (pp. 30–39),Programme annual-report extract · historical reference,2008,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2015/07/NHP_Annual_Report_2008_Pg-30-39.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,National HIV/STI Programme Annual Report 2007,Programme annual report · historical reference,2007,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2015/07/NHP_Annual_Report_2007.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,National HIV/STI Programme Annual Report 2006,Programme annual report · historical reference,2006,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2015/07/NHP_Annual_Report_2006.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,Jamaica Country Progress Report — March 2012,Country progress report · historical reference,2012,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2015/07/CountryProgressReportJamaicaMarch2012.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,UNGASS Country Progress Report 2008–2009,Country progress report · historical reference,2008,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2015/07/UNGASS_COUNTRY_PROGRESS_January_2008_December_2009.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,Global AIDS Monitoring Report — Jamaica 2017,Global AIDS Monitoring report · historical reference,2017,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://www.unaids.org/sites/default/files/country/documents/JAM_2017_countryreport.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,Annual HIV Epidemiological Profile 2016,Epidemiological report · historical reference,2016,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://hstu.moh.gov.jm/wp-content/uploads/2020/07/HIV-EPIDEMIOLOGICAL-PROFILE-20161.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,Annual HIV Epidemiological Profile 2015,Epidemiological report · historical reference,2015,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://hstu.moh.gov.jm/wp-content/uploads/2020/07/2015-Epi-Update-Revised-Final.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,Annual HIV Epidemiological Profile 2014,Epidemiological report · historical reference,2014,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://hstu.moh.gov.jm/wp-content/uploads/2020/07/2014-HIV-Epi-Update.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,Annual HIV Epidemiological Profile 2013,Epidemiological report · historical reference,2013,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://hstu.moh.gov.jm/wp-content/uploads/2020/07/Final-Epi-Update-2013-Revised.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,HIV Epidemiological Update 2012,Epidemiological report · historical reference,2012,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://hstu.moh.gov.jm/wp-content/uploads/2020/07/2012-Epi-Update.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,HIV Epidemic Update: Facts & Figures 2011,Epidemiological report · historical reference,2011,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://hstu.moh.gov.jm/wp-content/uploads/2020/07/HIV-Epidemic-Update-Facts-and-Figures-2011.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,HIV Epidemic Update: Facts & Figures 2010,Epidemiological report · historical reference,2010,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://hstu.moh.gov.jm/wp-content/uploads/2020/07/2010.HIV_.EPI_.Update.discussion.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,HIV Epidemic Facts & Figures 2010 — Data Tables,Epidemiological data tables · historical reference,2010,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://hstu.moh.gov.jm/wp-content/uploads/2020/07/NHP.Tables.Jan-Dec.2010.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,Jamaica HIV Epidemic Update 2009,Epidemiological report · historical reference,2009,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://hstu.moh.gov.jm/wp-content/uploads/2020/07/AIDS_dataJan_Dec09_final.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,Strategic Information Quarterly Bulletin — 2021 Q1,Strategic-information bulletin · reference,2021,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://hstu.moh.gov.jm/wp-content/uploads/2021/10/SI-Quarterly-Bulletin-Q1.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,Strategic Information Quarterly Bulletin — 2021 Q2,Strategic-information bulletin · reference,2021,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://hstu.moh.gov.jm/wp-content/uploads/2021/10/SI-Quarterly-Bulletin-Q2.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,HIV Bulletin — January–March 2023,Programme bulletin · reference,2023,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://hstu.moh.gov.jm/wp-content/uploads/2023/09/Bulletin-March-2023-quarter-1.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,MOHW HIV Monitoring Dashboard,Current operational dashboard,,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://gis.moh.gov.jm/mohw/apps/dashboards/hiv/index.html,Research > Strategic Information & M&E / J-MERG Legacy Collection,Current,2026-09-25,REPLACED BY CURRENT OFFICIAL VERSION
Recovered/verified official source,J-MERG Institutional History & National M&E Role,Strategic information / M&E,,Verified official programme resource,https://www.unaids.org/sites/default/files/country/documents/JAM_2017_countryreport.pdf,Research > Strategic Information & M&E,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Recovered/verified official source,Monitoring & Evaluation Plan 2007–2012,Strategic information / M&E,,Verified official programme resource,https://moh.gov.jm/wp-content/uploads/2015/07/M__E_Plan_2007_2012.pdf,Research > Strategic Information & M&E,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Recovered/verified official source,Monitoring & Evaluation System Operations Manual (2009),Strategic information / M&E,,Verified official programme resource,https://www.moh.gov.jm/wp-content/uploads/2015/07/Jamaica_NHP_ME_Operations_Manual_Aug_2009.pdf,Research > Strategic Information & M&E,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Recovered/verified official source,National Integrated Strategic Plan for SRH & HIV 2014–2019,Strategic information / M&E,,Verified official programme resource,https://moh.gov.jm/wp-content/uploads/2016/05/Final-National-Integrated-Strategic-Plan-2014-2019-with-SRH-Validation.pdf,Research > Strategic Information & M&E,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Recovered/verified official source,National Strategic Plan for HIV 2023–2030,Strategic information / M&E,,Verified official programme resource,https://www.moh.gov.jm/data/,Research > Strategic Information & M&E,Current,2026-09-25,REPLACED BY CURRENT OFFICIAL VERSION
Recovered/verified official source,National Surveillance Manual for Jamaica — July 2026,Strategic information / M&E,,Verified official programme resource,https://www.moh.gov.jm/data/27598/,Research > Strategic Information & M&E,Current,2026-09-25,REPLACED BY CURRENT OFFICIAL VERSION
