Resource ID,Exact Legacy Title,Legacy Page,Legacy Page URL,Resource Type,Original URL,Original Filename,Original Link Status,File Recovered,Migration Decision,Verification Date,Notes
JMERG-022,Revised DHIS 2 Annual Database Monitoring Report_Feb23 (1) (5).pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_3f80f0231b7c4e3f96c1d1f247d2eb51.pdf,8a054d_3f80f0231b7c4e3f96c1d1f247d2eb51.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-023,Treatment Cascade Report December 2025.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_e8bb427890524e4eb4f181a5252b2b91.pdf,8a054d_e8bb427890524e4eb4f181a5252b2b91.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-024,FINAL-NHP-Annual-Report-2017.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_a2e0939746a94fda8650744b478d9c3e.pdf,8a054d_a2e0939746a94fda8650744b478d9c3e.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-025,Jamaica-Health-and-Lifestyle-Survey-2016-17-JHLSIII-Electronic.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_726e0dd7ed5247a480fc88d29c268af2.pdf,8a054d_726e0dd7ed5247a480fc88d29c268af2.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-026,Jamaica MICS 2022 Survey Findings Report Part 1.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_32cf5fce0d294d38bc37f114cdb97df9.pdf,8a054d_32cf5fce0d294d38bc37f114cdb97df9.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-027,Jamaica-Survey-of-Living-Conditions-2021-Overview.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_8ad5d4329efc43718ec95abf8b3f1ebf.pdf,8a054d_8ad5d4329efc43718ec95abf8b3f1ebf.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-028,jamaica_nasa_2015-2017_en.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_41e2a7f3aa334a26a0063d9525c6cea0.pdf,8a054d_41e2a7f3aa334a26a0063d9525c6cea0.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-029,Deliverable 5b - Final Draft NCPI (1) (2).pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_4eeac0c75daf4f2f8e9872e311f86861.pdf,8a054d_4eeac0c75daf4f2f8e9872e311f86861.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-030,Final version NCPI report 2024 - 03.28.2024.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_e809e24019ea4156a36af7b272432e55.pdf,8a054d_e809e24019ea4156a36af7b272432e55.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-031,ANNUAL PMTCT DATABASE REPORT 2025_Final.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_1d343e95846d406eb9b7a2e25ce23592.pdf,8a054d_1d343e95846d406eb9b7a2e25ce23592.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-032,3. SI Monthly Report March 2026 Final.docx.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_1479a1a62dc646c79c0da8c220455801.pdf,8a054d_1479a1a62dc646c79c0da8c220455801.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-033,SI Report for July 2026.docx.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_089d438912ef4d23a90c6a211e3c9f05.pdf,8a054d_089d438912ef4d23a90c6a211e3c9f05.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-034,SI Annual Report 2025_May 11_2026_HPPB.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_91624b54be8d44dcbcbb63d6dd91db21.pdf,8a054d_91624b54be8d44dcbcbb63d6dd91db21.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-035,SI Annual Report 2025.docx.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_4295db50ce3d463ea5b72e1c7287ecf6.pdf,8a054d_4295db50ce3d463ea5b72e1c7287ecf6.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-036,STI DATABASE REPORT_Jan-June_2025_Final.docx.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_ac05204be77a43d48aaa598686d13c44.pdf,8a054d_ac05204be77a43d48aaa598686d13c44.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-037,STI Database Monitoring Report July to September 2025.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_cb05a673b0ac43d48b0ba8138e25164d.pdf,8a054d_cb05a673b0ac43d48b0ba8138e25164d.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-038,STI Database Monitoring Report Jan-Dec 2025 Annual.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_686eba28dc2f46d8bd58015d586ce1c8.pdf,8a054d_686eba28dc2f46d8bd58015d586ce1c8.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-039,Annual TB Database report 2025_final.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_428f44b7b0b64a1f87bc716e7135b508.pdf,8a054d_428f44b7b0b64a1f87bc716e7135b508.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-040,FSW 2024.11.21 5th PLACE Final Clean_AB 21. 01.25 (1).pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_719c768ab64d4f1587e5bda30769d3d0.pdf,8a054d_719c768ab64d4f1587e5bda30769d3d0.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-041,MSMTGW 2024 Survey Report Final 4March2025.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_b71d11e41ac640609d5b9ad4f2cebf5f.pdf,8a054d_b71d11e41ac640609d5b9ad4f2cebf5f.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-042,2024.12.28 MSMTGW Survey Report  (1).pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_5b2796473da548c1848bff878b6f324f.pdf,8a054d_5b2796473da548c1848bff878b6f324f.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-043,Terms-of-Reference-KABP-2021-HIV (1).pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_214c146c40b84cac810622e89260c860.pdf,8a054d_214c146c40b84cac810622e89260c860.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-044,2024 HIV KABP Final REPORT -August 2025.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_808940ad37ff4310a4482e2b16c4ca06.pdf,8a054d_808940ad37ff4310a4482e2b16c4ca06.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-045,876 Study Report 11June19.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_7b2be1720fc24132ac6bcfb19cf87e9b.pdf,8a054d_7b2be1720fc24132ac6bcfb19cf87e9b.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-046,Final PLACE 2017 Report.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_e0e3718b9d5d4c2999bb124f3647785e.pdf,8a054d_e0e3718b9d5d4c2999bb124f3647785e.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-047,KABP 2017 Report .pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_e9863a4cd2464e59bd20be83416ef1db.pdf,8a054d_e9863a4cd2464e59bd20be83416ef1db.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-048,MSMTGW 2024 Survey Report Final 4March2025.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_9a00af4364d243b19f3cd6ad48d2d126.pdf,8a054d_9a00af4364d243b19f3cd6ad48d2d126.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-049,Training report 2025.docx.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_8fb5686d22a041839b74e7c9b4dbae9b.pdf,8a054d_8fb5686d22a041839b74e7c9b4dbae9b.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-050,Workshop on Pivot Tables.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_186d997de4a14bbea91242b65d64a6d9.pdf,8a054d_186d997de4a14bbea91242b65d64a6d9.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-051,Prevention Booklet Complete.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_b76482ee88cc4952a110ea8e803482fd.pdf,8a054d_b76482ee88cc4952a110ea8e803482fd.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-052,TRAINING MANUAL  FOR WORKSHOP PARTICIPANTS - MAY 20TH-2024_From_Dr_Ismail.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_c63a8eaeebfb4ff0b04ffe2914586ee1.pdf,8a054d_c63a8eaeebfb4ff0b04ffe2914586ee1.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
